time,P,G(i),H_sun,T2m,WS10m,Int
20150112:1502,4555.74,836.08,34.58,22.65,5.52,0
20150112:1602,3654.72,663.53,22.28,21.95,5.1,0
20150112:1702,2249.1,409.6,10.3,21.19,4.34,0
20150112:1802,0,0,0,20.36,3.24,0
20150112:1902,0,0,0,19.94,2.28,0
20150112:2002,0,0,0,19.44,2.21,0
20150112:2102,0,0,0,18.82,2.21,0
20150112:2202,0,0,0,18.18,2.28,0
20150112:2302,0,0,0,17.85,2.28,0
20150113:0002,0,0,0,17.47,2.14,0
20150113:0102,0,0,0,17.06,2.07,0
20150113:0202,0,0,0,16.88,2.07,0
20150113:0302,0,0,0,16.64,2.14,0
20150113:0402,0,0,0,16.61,2.34,0
20150113:0502,218.64,54.3,13.35,18.69,2.76,0
20150113:0602,939.12,199.7,25.44,20.91,4.28,0
20150113:0702,1560.12,320.88,37.81,22.51,5.93,0
20150113:0802,2548.02,484.31,50.22,23.58,7.31,0
20150113:0902,3486.48,641.83,62.34,24.6,8.48,0
20150113:1002,4328.76,792.93,73.02,25.16,8.9,0
20150113:1102,4906.08,902.07,77.39,25.47,9.03,0
20150113:1202,5212.86,964.38,70.53,26.05,8.97,0
20150113:1302,5258.82,975.2,59.26,26.47,8.97,0
20150113:1402,5095.38,939.49,47.01,26.36,9.38,0
20150113:1502,4507.44,823.46,34.58,25.92,9.59,0
20150113:1602,3660.6,662.86,22.27,25.13,9.52,0
20150113:1702,2157.18,393.98,10.28,24.15,9.1,0
20150113:1802,0,0,0,22.92,8.41,0
20150113:1902,0,0,0,22.73,7.79,0
20150113:2002,0,0,0,22.41,7.24,0
20150113:2102,0,0,0,21.98,6.28,0
20150113:2202,0,0,0,21.41,5.38,0
20150113:2302,0,0,0,20.88,4.76,0
20150114:0002,0,0,0,20.49,4.62,0
20150114:0102,0,0,0,19.96,4.28,0
20150114:0202,0,0,0,19.61,4.28,0
20150114:0302,0,0,0,19.33,3.86,0
20150114:0402,0,0,0,19.11,3.45,0
20150114:0502,279.84,66.07,13.19,19.92,2.9,0
20150114:0602,526.74,149.97,25.29,22.13,3.52,0
20150114:0702,1421.58,308.53,37.65,24.84,3.38,0
20150114:0802,2435.4,480.39,50.07,27.17,2.9,0
20150114:0902,3332.88,647.88,62.17,29.06,2.55,0
20150114:1002,4055.64,793.1,72.83,30.37,2.83,0
20150114:1102,4599.6,903.01,77.23,31.2,3.59,0
20150114:1202,4922.4,966.52,70.47,31.55,4.28,0
20150114:1302,5001.78,977.69,59.24,31.58,4.83,0
20150114:1402,4545.96,880.05,47.01,31.45,5.03,0
20150114:1502,3946.86,754.76,34.58,31.09,5.1,0
20150114:1602,2383.32,451.65,22.26,30.35,4.9,0
20150114:1702,1912.02,363.92,10.26,29.22,4.14,0
20150114:1802,0,0,0,27.78,3.52,0
20150114:1902,0,0,0,26.11,2.41,0
20150114:2002,0,0,0,25.46,1.93,0
20150114:2102,0,0,0,24.66,1.45,0
20150114:2202,0,0,0,24.14,0.55,0
20150114:2302,0,0,0,22.32,1.45,0
20150115:0002,0,0,0,21.52,2.34,0
20150115:0102,0,0,0,20.86,3.59,0
20150115:0202,0,0,0,19.86,4.41,0
20150115:0302,0,0,0,19.43,5.03,0
20150115:0402,0,0,0,19.4,5.52,0
20150115:0502,420.18,91.41,13.02,19.71,6.14,0
20150115:0602,586.2,154.94,25.13,20.49,6.48,0
20150115:0702,1710.96,323.46,37.5,20.58,6.83,0
20150115:0802,1657.14,308.31,49.91,21.13,7.17,0
20150115:0902,2932.38,537.95,62,22.25,7.45,0
20150115:1002,4071.96,746.2,72.64,23.61,7.72,0
20150115:1102,4865.88,893.31,77.06,24.29,8.07,0
20150115:1202,4417.62,812.44,70.41,24.23,8.28,0
20150115:1302,5235.24,961.24,59.22,23.96,8.41,0
20150115:1402,4850.82,884.39,47,23.27,8.28,0
20150115:1502,4501.68,814.43,34.57,22.34,7.66,0
20150115:1602,3679.56,660.22,22.24,21.59,7.17,0
20150115:1702,1951.56,354.14,10.23,20.86,6.97,0
20150115:1802,0,0,0,20.04,5.86,0
20150115:1902,0,0,0,19.73,6.69,0
20150115:2002,0,0,0,19.33,6.14,0
20150115:2102,0,0,0,19.2,6.28,0
20150115:2202,0,0,0,19.16,6.76,0
20150115:2302,0,0,0,19.09,7.38,0
20150116:0002,0,0,0,18.54,7.45,0
20150116:0102,0,0,0,18,7.72,0
20150116:0202,0,0,0,17.34,5.72,0
20150116:0302,0,0,0,16.4,6,0
20150116:0402,0,0,0,16.48,5.38,0
20150116:0502,264.84,62.45,12.86,16.94,5.31,0
20150116:0602,996.36,199.81,24.97,17.74,6.34,0
20150116:0702,1199.64,226.41,37.34,18.53,5.93,0
20150116:0802,2539.98,473.19,49.75,19.02,5.93,0
20150116:0902,3499.02,634.79,61.83,19.36,5.86,0
20150116:1002,4331.82,784.36,72.44,19.75,5.79,0
20150116:1102,4797.18,873.62,76.89,19.9,5.79,0
20150116:1202,4447.62,811.5,70.33,19.9,5.72,0
20150116:1302,5152.86,942.6,59.19,19.88,5.66,0
20150116:1402,5070.9,923.84,46.98,19.65,5.59,0
20150116:1502,4412.88,794.84,34.56,19.34,5.66,0
20150116:1602,3464.82,617.5,22.22,18.77,5.52,0
20150116:1702,793.86,154.62,10.2,18.14,5.24,0
20150116:1802,0,0,0,17.42,4.55,0
20150116:1902,0,0,0,17.3,3.93,0
20150116:2002,0,0,0,16.98,3.59,0
20150116:2102,0,0,0,16.65,3.31,0
20150116:2202,0,0,0,16.36,3.24,0
20150116:2302,0,0,0,16.14,3.1,0
20150117:0002,0,0,0,15.91,2.97,0
20150117:0102,0,0,0,15.76,2.97,0
20150117:0202,0,0,0,15.54,2.9,0
20150117:0302,0,0,0,15.28,2.97,0
20150117:0402,0,0,0,14.83,2.9,0
20150117:0502,236.64,57.02,12.69,15.68,2.76,0
20150117:0602,450.72,135.42,24.8,17.52,3.1,0
20150117:0702,1383.48,296.84,37.18,18.89,3.03,0
20150117:0802,2457.06,470.07,49.59,19.95,2.62,0
20150117:0902,3403.26,636.76,61.66,20.98,2.41,0
20150117:1002,4175.04,781.79,72.24,21.91,2.9,0
20150117:1102,4790.22,891.58,76.7,22.4,4.48,0
20150117:1202,5167.32,955.97,70.25,22.05,5.59,0
20150117:1302,5220.78,962.27,59.15,21.53,5.79,0
20150117:1402,5028.24,922.53,46.96,21.21,5.66,0
20150117:1502,4505.04,818.32,34.54,20.8,5.59,0
20150117:1602,3632.64,651.56,22.2,20.19,5.72,0
20150117:1702,2235.6,402.02,10.16,19.36,5.72,0
20150117:1802,0,0,0,18.49,5.03,0
20150117:1902,0,0,0,17.65,4.69,0
20150117:2002,0,0,0,17.23,4.48,0
20150117:2102,0,0,0,16.88,4.41,0
20150117:2202,0,0,0,16.63,4.55,0
20150117:2302,0,0,0,16.47,4.69,0
20150118:0002,0,0,0,16.36,4.69,0
20150118:0102,0,0,0,16.29,4.62,0
20150118:0202,0,0,0,16.23,4.55,0
20150118:0302,0,0,0,16.25,4.48,0
20150118:0402,0,0,0,16.3,4.28,0
20150118:0502,239.94,57.92,12.52,17.1,3.72,0
20150118:0602,943.02,185.54,24.64,18.63,4.07,0
20150118:0702,1363.26,294.39,37.02,20.17,3.17,0
20150118:0802,2468.88,466.54,49.43,21.46,3.72,0
20150118:0902,3120.06,580.3,61.48,22.47,4.41,0
20150118:1002,3542.64,655.3,72.04,22.68,5.38,0
20150118:1102,3113.46,571.03,76.51,22.26,6.9,0
20150118:1202,5099.1,926.7,70.16,21.69,8.14,0
20150118:1302,5269.2,954.8,59.11,21.34,8.41,0
20150118:1402,4990.14,902.92,46.93,21.11,7.72,0
20150118:1502,4476.24,804.44,34.51,20.75,7.38,0
20150118:1602,3618.24,644.85,22.17,20.47,7.52,0
